Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Values_from,Run_Name,Initial_W,fit.to,fit.to.value,First_day,Last_day,N_indiv,Oxycal,p-value,Total consumption (g),Final weight (g),Pop Number,Pop Biomass (g),Cum. Cons. Pop. (g),Run time (s),OK. Energy budget balanced.,T_File,Diet_prop_File,Prey_E_File,EGEQ,Indigestible_Prey,PREDEDEQ,Predator_ED,calc.pop_mort,Mortality_File,calc.spawn,Reproduction_File,calc.contaminant,Prey_conc_File,Contam_assim_File,Contam_trans_eff_File,Init_Pred-conc,Contam_EQ,calc.nut,Save_Daily_Output,Daily_Output_File
Fri Oct 11 16:20:09 2024,v1.1.6,C:/Users/Aengus Kennedy/Documents/GitHub/FB4,FB4_Log_File_Trout.csv,15,Brook Trout (juvenile & adult),FB4_Design_Check_Trout.csv,Check Brook trout,17.85,Weight,19.42,1,99,1,13560,0.352333,32.142,19.420,1.000,19.420,32.142,1.040,0.000,Main Inputs/Temperature_Example_4.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,2,NA,1,Main Inputs/Pred_E.csv,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA
Fri Oct 11 16:20:11 2024,v1.1.6,C:/Users/Aengus Kennedy/Documents/GitHub/FB4,FB4_Log_File_Trout.csv,17,Brown Trout,FB4_Design_Check_Trout.csv,Check Brown trout,17.85,Weight,19.42,1,99,1,13560,0.298866,23.225,19.420,1.000,19.420,23.225,1.280,0.000,Main Inputs/Temperature_Example_4.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,3,Main Inputs/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA
Fri Oct 11 16:20:12 2024,v1.1.6,C:/Users/Aengus Kennedy/Documents/GitHub/FB4,FB4_Log_File_Trout.csv,18,Bull trout (adult) ,FB4_Design_Check_Trout.csv,Check Bull trout,17.85,Weight,19.42,1,99,1,13560,0.491257,18.212,19.420,1.000,19.420,18.212,1.260,0.000,Main Inputs/Temperature_Example_4.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,2,NA,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA
Fri Oct 11 16:20:13 2024,v1.1.6,C:/Users/Aengus Kennedy/Documents/GitHub/FB4,FB4_Log_File_Trout.csv,23,Cutthroat trout,FB4_Design_Check_Trout.csv,Check Cutthroat trout,17.85,Weight,19.42,1,99,1,13560,0.379486,41.720,19.420,1.000,19.420,41.720,1.150,0.000,Main Inputs/Temperature_Example_4.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,3,Main Inputs/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA
Fri Oct 11 16:20:14 2024,v1.1.6,C:/Users/Aengus Kennedy/Documents/GitHub/FB4,FB4_Log_File_Trout.csv,40,Lake trout (adult),FB4_Design_Check_Trout.csv,Check Lake trout,17.85,Weight,19.42,1,99,1,13560,0.613116,55.427,19.420,1.000,19.420,55.427,1.300,0.000,Main Inputs/Temperature_Example_4.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,3,Main Inputs/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA
Fri Oct 11 16:20:16 2024,v1.1.6,C:/Users/Aengus Kennedy/Documents/GitHub/FB4,FB4_Log_File_Trout.csv,78,Steelhead (adult),FB4_Design_Check_Trout.csv,Check Steelhead,17.85,Weight,19.42,1,99,1,13560,0.227253,41.773,19.420,1.000,19.420,41.773,1.380,0.000,Main Inputs/Temperature_Example_4.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,3,Main Inputs/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA
Fri Oct 11 16:20:17 2024,v1.1.6,C:/Users/Aengus Kennedy/Documents/GitHub/FB4,FB4_Log_File_Trout.csv,61,Rainbow Trout (juvenile) ,FB4_Design_Check_Trout.csv,Check Rainbow juv,17.85,Weight,19.42,1,99,1,13560,0.444389,48.341,19.420,1.000,19.420,48.341,1.090,0.000,Main Inputs/Temperature_Example_4.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,3,Main Inputs/Indigestible_Prey.csv,1,Main Inputs/Pred_E.csv,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA
Fri Oct 11 16:20:18 2024,v1.1.6,C:/Users/Aengus Kennedy/Documents/GitHub/FB4,FB4_Log_File_Trout.csv,62,Rainbow Trout (adult) ,FB4_Design_Check_Trout.csv,Check Rainbow adult,17.85,Weight,19.42,1,99,1,13560,0.29781,43.530,19.420,1.000,19.420,43.530,1.320,0.000,Main Inputs/Temperature_Example_4.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,3,Main Inputs/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA
Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Values_from,Run_Name,Initial_W,fit.to,fit.to.value,First_day,Last_day,N_indiv,Oxycal,p-value,Total consumption (g),Final weight (g),Pop Number,Pop Biomass (g),Cum. Cons. Pop. (g),Run time (s),OK. Energy budget balanced.,T_File,Diet_prop_File,Prey_E_File,EGEQ,Indigestible_Prey,PREDEDEQ,Predator_ED,calc.pop_mort,Mortality_File,calc.spawn,Reproduction_File,calc.contaminant,Prey_conc_File,Contam_assim_File,Contam_trans_eff_File,Init_Pred-conc,Contam_EQ,calc.nut,Save_Daily_Output,Daily_Output_File
Fri Oct 11 16:29:04 2024,v1.1.6,C:/Users/Aengus Kennedy/Documents/GitHub/FB4,FB4_Log_File_Trout.csv,15,Brook Trout (juvenile & adult),FB4_Design_Check_Trout.csv,Check Brook trout,17.85,Weight,19.42,1,99,1,13560,0.352333,32.142,19.420,1.000,19.420,32.142,1.000,0.000,Main Inputs/Temperature_Example_4.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,2,NA,1,Main Inputs/Pred_E.csv,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA
Fri Oct 11 16:29:06 2024,v1.1.6,C:/Users/Aengus Kennedy/Documents/GitHub/FB4,FB4_Log_File_Trout.csv,17,Brown Trout,FB4_Design_Check_Trout.csv,Check Brown trout,17.85,Weight,19.42,1,99,1,13560,0.298866,23.225,19.420,1.000,19.420,23.225,1.280,0.000,Main Inputs/Temperature_Example_4.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,3,Main Inputs/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA
Fri Oct 11 16:29:07 2024,v1.1.6,C:/Users/Aengus Kennedy/Documents/GitHub/FB4,FB4_Log_File_Trout.csv,18,Bull trout (adult) ,FB4_Design_Check_Trout.csv,Check Bull trout,17.85,Weight,19.42,1,99,1,13560,0.491257,18.212,19.420,1.000,19.420,18.212,1.270,0.000,Main Inputs/Temperature_Example_4.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,2,NA,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA
Fri Oct 11 16:29:08 2024,v1.1.6,C:/Users/Aengus Kennedy/Documents/GitHub/FB4,FB4_Log_File_Trout.csv,23,Cutthroat trout,FB4_Design_Check_Trout.csv,Check Cutthroat trout,17.85,Weight,19.42,1,99,1,13560,0.379486,41.720,19.420,1.000,19.420,41.720,1.140,0.000,Main Inputs/Temperature_Example_4.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,3,Main Inputs/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA
Fri Oct 11 16:29:09 2024,v1.1.6,C:/Users/Aengus Kennedy/Documents/GitHub/FB4,FB4_Log_File_Trout.csv,40,Lake trout (adult),FB4_Design_Check_Trout.csv,Check Lake trout,17.85,Weight,19.42,1,99,1,13560,0.613116,55.427,19.420,1.000,19.420,55.427,1.400,0.000,Main Inputs/Temperature_Example_4.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,3,Main Inputs/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA
Fri Oct 11 16:29:11 2024,v1.1.6,C:/Users/Aengus Kennedy/Documents/GitHub/FB4,FB4_Log_File_Trout.csv,78,Steelhead (adult),FB4_Design_Check_Trout.csv,Check Steelhead,17.85,Weight,19.42,1,99,1,13560,0.227253,41.773,19.420,1.000,19.420,41.773,1.250,0.000,Main Inputs/Temperature_Example_4.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,3,Main Inputs/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA
Fri Oct 11 16:29:12 2024,v1.1.6,C:/Users/Aengus Kennedy/Documents/GitHub/FB4,FB4_Log_File_Trout.csv,61,Rainbow Trout (juvenile) ,FB4_Design_Check_Trout.csv,Check Rainbow juv,17.85,Weight,19.42,1,99,1,13560,0.444389,48.341,19.420,1.000,19.420,48.341,1.110,0.000,Main Inputs/Temperature_Example_4.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,3,Main Inputs/Indigestible_Prey.csv,1,Main Inputs/Pred_E.csv,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA
Fri Oct 11 16:29:13 2024,v1.1.6,C:/Users/Aengus Kennedy/Documents/GitHub/FB4,FB4_Log_File_Trout.csv,62,Rainbow Trout (adult) ,FB4_Design_Check_Trout.csv,Check Rainbow adult,17.85,Weight,19.42,1,99,1,13560,0.29781,43.530,19.420,1.000,19.420,43.530,1.390,0.000,Main Inputs/Temperature_Example_4.csv,Main Inputs/Diet_prop.csv,Main Inputs/Prey_E.csv,3,Main Inputs/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA
